MarketCode,ClassificationId,WholesalesFactorNY,WholesalesFactorOY
USNA,101319,0.810229584,0.428005103
USNA,101324,0.680618248,0.430930622
USNA,101325,0.713726744,0.688369938
USNA,101341,0.773995087,0.95
USNA,101343,0.771970753,0.95
USNA,101401,0.773995087,0.95
USNA,101409,0.742353637,0.608683112
USNA,101410,0.8126799,0.374318299
USNA,101414,0.742353637,0.1
USNA,101416,0.743108517,0.1
USNA,101419,0.742353637,0.245791567
USNA,101436,0.742353637,0.608683112
USNA,101437,0.8126799,0.374318299
USNA,101441,0.742353637,0.1
USNA,101443,0.743108517,0.1
USNA,101446,0.742353637,0.245791567
USNA,101458,0.940775392,0.32205142
USNA,101460,0.617405705,0.300527232
USNA,101464,0.95,0.423426498
USNA,101465,0.830125498,0.155861381
USNA,101494,0.69157806,0.463665516
USNA,101495,0.814948759,0.284018326
USNA,101497,0.820510857,0.463665516
USNA,101498,0.95,0.463665516
USNA,101514,0.796189506,0.782849873
USNA,101577,0.854197558,0.296104223
USNA,101585,0.840934321,0.544624963
USNA,101587,0.854197558,0.296104223
USNA,101588,0.796718181,0.337661218
USNA,101603,0.852006963,0.353487101
USNA,101604,0.73371708,0.310867334
USNA,101610,0.799291648,0.467313402
USNA,101612,0.95,0.353487101
USNA,101626,0.95,0.490046423
USNA,101627,0.889101723,0.375838282
USNA,101629,0.95,0.500167758
USNA,101630,0.95,0.490046423
USNA,101638,0.745830326,0.304087556
USNA,101640,0.804831029,0.429472497
USNA,101641,0.745830326,0.44898931
USNA,101643,0.745830326,0.475667375
USNA,101652,0.745830326,0.603661087
USNA,101654,0.870371408,0.693775722
USNA,101670,0.900035431,0.441122665
USNA,101672,0.943838486,0.596276237
USNA,101673,0.900035431,0.401252466
USNA,101675,0.900035431,0.447975525
USNA,101678,0.900035431,0.491386334
USNA,101679,0.900035431,0.503585569
USNA,101686,0.900035431,0.491386334
USNA,101691,0.943838486,0.596276237
USNA,101692,0.900035431,0.401252466
USNA,101694,0.900035431,0.447975525
USNA,101698,0.900035431,0.491386334
USNA,101699,0.900035431,0.503585569
USNA,101704,0.900035431,0.491386334
USNA,101712,0.834309367,0.269769245
USNA,101713,0.793113723,0.645385681
USNA,101716,0.617405705,0.300527232
USNA,101718,0.95,0.423426498
USNA,101719,0.830125498,0.155861381
USNA,101725,0.754291172,0.298160901
USNA,101726,0.736963821,0.504491911
USNA,101727,0.236499218,0.275852094
USNA,101734,0.754291172,0.298160901
USNA,101735,0.736963821,0.504491911
USNA,101737,0.236499218,0.275852094
USNA,101739,0.733505611,0.352597619
USNA,104301,0.81164748,0.426807088
USNA,107730,0.796189506,0.782849873
USNA,107732,0.796189506,0.782849873
USNA,110215,0.662352758,0.84498171
USNA,115035,0.699657736,0.571340412
USNA,115036,0.699657736,0.553817939
USNA,115037,0.699657736,0.650120447
USNA,115039,0.699657736,0.407122352
USNA,115040,0.934982884,0.422092867
USNA,115041,0.934982884,0.422092867
USNA,115043,0.95,0.95
USNA,115044,0.95,0.465291432
USNA,115045,0.95,0.507746877
USNA,115046,0.95,0.407122352
USNA,115048,0.71261702,0.1
USNA,115071,0.95,0.594455149
USNA,115073,0.93173063,0.285212071
USNA,115075,0.93173063,0.285212071
USNA,115077,0.95,0.594455149
USNA,115521,0.934982884,0.581829288
USNA,115523,0.934982884,0.581829288
USNA,116159,0.820510857,0.463665516
USNA,116160,0.820510857,0.463665516
USNA,116161,0.820510857,0.463665516
USNA,116162,0.713726744,0.688369938
USNA,116163,0.713726744,0.688369938
USNA,116164,0.884700676,0.428005103
USNA,116167,0.820510857,0.463665516
USNA,116168,0.820510857,0.463665516
USNA,116169,0.820510857,0.463665516
USNA,116220,0.814948759,0.284018326
USNA,116221,0.95,0.463665516
USNA,116224,0.814948759,0.284018326
USNA,116225,0.95,0.463665516
USNA,116229,0.680618248,0.430930622
USNA,116230,0.834309367,0.269769245
USNA,116231,0.793113723,0.645385681
USNA,116232,0.810229584,0.428005103
USNA,118201,0.780889675,0.95
USNA,118202,0.780889675,0.95
USNA,118220,0.780889675,0.95
USNA,118222,0.780889675,0.95
USNA,119410,0.780889675,0.95
USNA,119486,0.780889675,0.95
USNA,119643,0.773995087,0.95
USNA,120327,0.773995087,0.95
USNA,122003,0.875258412,0.360238556
USNA,123420,0.9471333,0.555481554
USNA,123422,0.875258412,0.537720273
USNA,123423,0.95,0.1
USNA,123426,0.95,0.1
USNA,123430,0.875258412,0.449387898
USNA,141806,0.900035431,0.441122665
